original_y_dl_avg,LSTM_Multivariable_dl_avg_prediction,FNN_Multivariable_dl_avg_prediction
"7,335","7,721","8,28"
"7,074","8,317","8,641"
"9,617","9,085","9,011"
"8,383","9,783","9,423"
"3,201","10,309","8,75"
"10,972","10,111","8,213"
"5,083","9,859","10,053"
"11,348","8,618","6,743"
"11,016","8,404","9,392"
"10,138","8,009","9,209"
"6,502","7,937","7,882"
"7,912","7,859","8,811"
"9,566","7,972","9,534"
"8,977","7,917","7,914"
"9,312","7,572","7,472"
"7,42","7,59","8,809"
"8,577","7,526","7,952"
"9,943","7,66","8,749"
"7,711","7,702","8,347"
"6,719","7,919","8,599"
"7,359","7,68","7,544"
"4,303","7,643","7,942"
"5,547","7,869","6,781"
"8,985","7,861","6,722"
"9,943","8,043","9,005"
"12,218","7,946","8,72"
"6,431","8,015","9,623"
"8,688","8,505","9,065"
"13,92","9,035","8,986"
"9,84","9,227","10,603"
"10,609","9,324","9,589"
"10,717","9,256","9,7"
"11,787","9,232","8,987"
"7,601","9,196","8,804"
"8,504","8,961","7,686"
"8,812","8,75","9,08"
"10,757","8,408","8,299"
"3,861","8,076","9,05"
"10,091","7,743","6,621"
"6,963","7,602","8,811"
"11,99","7,648","8,396"
"10,77","7,76","8,577"
"6,985","7,967","6,447"
"5,176","7,929","7,621"
"8,237","7,986","6,115"
"6,809","7,915","8,966"
"8,635","8,121","7,293"
"10,944","7,826","7,425"
"9,51","7,977","8,978"
"5,352","7,979","8,598"
"5,466","8,589","9,039"
"8,361","8,905","8,551"
"9,432","9,013","9,562"
"10,552","9,207","8,307"
"11,209","9,418","9,067"
"8,231","9,002","10,065"
"8,228","8,775","9,199"
"9,837","8,734","8,524"
"10,174","8,592","8,872"
"7,099","8,319","8,235"
"5,516","7,84","8,146"
"9,327","7,592","7,606"
"7,15","7,562","8,748"
"7,257","7,475","7,722"
"8,065","7,753","8,028"
"5,673","8,076","8,843"
"7,246","8,172","7,193"
"4,867","8,666","8,19"
"6,751","9,206","6,943"
"4,926","8,757","7,286"
"6,844","8,369","6,715"
"4,331","8,696","6,874"
"7,152","8,614","7,398"
"10,226","8,792","7,765"
"9,731","9,348","9,292"
"10,2","9,768","8,704"
"7,711","10,184","9,633"
"10,907","10,401","8,684"
"10,56","10,459","10,239"
"10,774","10,135","9,573"
"8,797","9,542","9,879"
"8,757","8,925","8,698"
"8,433","8,625","8,363"
"5,425","8,435","8,229"
"9,087","8,144","7,693"
"5,511","7,973","8,431"
"9,629","7,825","7,539"
"12,209","8,008","8,165"
"8,392","8,232","9,764"
"6,957","8,446","7,487"
"8,101","8,371","7,935"
"8,791","8,035","9,022"
"8,767","7,851","7,203"
"7,523","7,464","8,296"
"7,694","7,426","7,871"
"7,968","7,383","7,787"
"12,034","7,542","8,492"
"13,628","7,904","10,261"
"8,86","8,002","9,613"
"8,953","8,219","9,272"
"8,387","8,76","8,198"
"9,437","8,984","9,606"
"8,82","8,95","8,831"
"10,286","8,701","8,95"
"9,781","8,562","8,735"
"7,818","8,4","8,469"
"7,22","8,199","8,232"
"6,197","7,998","8,241"
"8,818","7,955","7,547"
"8,824","7,876","8,463"
"8,762","7,802","8,721"
"8,737","7,703","7,793"
"9,066","7,871","8,529"
"6,054","8,141","8,777"
"7,129","8,194","7,839"
"7,172","8,044","7,943"
"7,657","7,74","7,984"
"6,545","7,528","7,606"
"6,646","7,569","7,501"
"7,098","7,627","7,971"
"11,285","7,67","7,865"
"9,938","7,883","8,614"
"8,908","8,423","8,979"
"7,346","8,8","9,694"
"9,096","9,168","9,207"
"11,255","9,461","9,91"
"11,422","9,36","10,323"
"9,423","9,021","8,987"
"10,546","8,679","9,131"
"10,727","8,373","9,424"
"8,28","8,335","8,551"
"7,684","8,232","8,176"
"8,225","8,021","8,152"
"10,429","7,981","8,21"
"7,645","7,805","8,896"
"5,808","7,668","7,917"
"9,096","7,625","7,583"
"7,982","7,694","8,937"
"8,218","7,779","6,989"
"11,715","7,965","8,476"
"10,297","7,901","8,976"
"7,391","7,709","7,362"
"7,833","7,607","8,007"
"9,295","7,681","8,811"
